campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
14,2017-05-30,2017-08-28,84,24,4,153.58083087935563,12.054790970923394,153.4319813888248,10.860906452742364,154.56292495229155,10.723683487077555,154.71594308522464,11.917633401618533
15,2017-08-21,2017-11-18,84,24,4,224.52174811091237,-15.33234622876352,224.4582084713195,-16.53355744003356,225.62469977441407,-16.587027332888,225.68070691175308,-15.38489213442818
16,2017-11-20,2018-02-09,84,24,4,312.6662311235055,-16.370811986553228,313.27110144419777,-17.425182443979995,314.29552253553595,-16.882157629940647,313.685936179718,-15.8305332747364
17,2018-02-01,2018-04-22,84,24,4,194.5256181767775,-7.055030609001142,194.71211400073008,-5.866627386675082,193.60053440260404,-5.693595117952791,193.41201002784905,-6.882255707891519
