filename,url,filesize,object,keplerid,obsmode,campaign,data_rel,channel,module,output,ra_obj,dec_obj,kepmag,cadences,lc_start,lc_end,gain,readnois,meanblck,cdpp3_0,cdpp6_0,cdpp12_0,npix,naxis1,naxis2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,pc1_1,pc1_2,pc2_1,pc2_2,crval1p,crval2p
ktwo248368656-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368656-c92_lpd-targ.fits.gz,8.7,EPIC 248368656,248368656,long cadence,92,12,46,14,2,271.173708,-24.3483,8.87,2022,57530.63434642,57571.93065832,113.99,85.469702,717,,,,431,13,48,6.868164101230946,24.211216917828096,271.1737083333,-24.3483,-0.001107748049536,0.001107748049536,0.9734644685913669,-0.23773204286718486,-0.23673474585731896,-0.9694453117690965,992,893
ktwo248368674-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368674-c92_lpd-targ.fits.gz,1.8,EPIC 248368674,248368674,long cadence,92,12,51,15,3,273.18233,-28.03986,17.23,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,90,10,9,5.740699544302402,5.5697915741818065,273.18233,-28.03986,-0.001105442459862,0.001105442459862469,0.968341557874118,0.2536307738636451,-0.253953172670805,0.9661773293551037,233,192
ktwo248368675-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368675-c92_lpd-targ.fits.gz,2.2,EPIC 248368675,248368675,long cadence,92,12,51,15,3,273.16004,-27.83972,15.63,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,110,11,10,6.087302514521298,6.3960241477801105,273.16004,-27.83972,-0.001104631474729,0.001104631474729,0.9673882438969286,0.253305568179676,-0.25386113140024075,0.9672389216791238,204,371
ktwo248368676-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368676-c92_lpd-targ.fits.gz,2.7,EPIC 248368676,248368676,long cadence,92,12,51,15,3,273.14967,-28.23594,16.64,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,129,12,11,6.939511683211549,6.407187509573035,273.14967,-28.23594,-0.001106271675289,0.001106271675289,0.9694491805789717,0.2535508134248997,-0.25358642249104824,0.965190311208543,302,26
ktwo248368677-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368677-c92_lpd-targ.fits.gz,2.2,EPIC 248368677,248368677,long cadence,92,12,51,15,3,273.10429,-27.81706,16.35,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,110,11,10,6.092945339649873,6.567637641411864,273.10429,-27.81706,-0.001104615647567,0.001104615647567269,0.9674207026767825,0.2528696772581558,-0.2534178456528635,0.9674367196904983,242,402
ktwo248368678-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368678-c92_lpd-targ.fits.gz,2.2,EPIC 248368678,248368678,long cadence,92,12,51,15,3,272.96467,-27.87733,15.68,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,110,11,10,6.02776376694419,6.046807764378002,272.96467,-27.87733,-0.001105069093658,0.001105069093658,0.9680739175751897,0.2518718440924009,-0.25224991162634863,0.9673490139391054,364,378
ktwo248368679-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368679-c92_lpd-targ.fits.gz,2.0,EPIC 248368679,248368679,long cadence,92,12,51,15,3,272.916,-27.80908,16.17,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,99,11,9,6.192332973404518,5.659473219784161,272.91599999999994,-27.80908,-0.001104834404295,0.001104834404295,0.9678577524144101,0.25144847889138466,-0.25189265406116257,0.9677682210591563,386,448
ktwo248368671-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368671-c92_lpd-targ.fits.gz,2.4,EPIC 248368671,248368671,long cadence,92,12,51,15,3,273.29204,-27.89831,15.77,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,120,11,11,6.310018268093245,6.191746429109287,273.29204,-27.89831,-0.001104673251238,0.001104673251238,0.96733242261187,0.2543376251033193,-0.254914769649445,0.966746860772622,115,293
ktwo248368672-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368672-c92_lpd-targ.fits.gz,2.0,EPIC 248368672,248368672,long cadence,92,12,52,15,4,271.53792,-27.91772,18.25,2022,57530.63434642,57571.93065832,106.71,103.796817,701,,,,99,11,9,7.165675572365444,5.980123381014437,271.53792,-27.91772,-0.00110438240084,0.001104382400839738,-0.9699250808276717,0.2408046850301345,0.2409482391792498,0.971186902757532,733,624
ktwo248368673-c92_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c92/248300000/68000/ktwo248368673-c92_lpd-targ.fits.gz,2.2,EPIC 248368673,248368673,long cadence,92,12,51,15,3,273.28863,-27.84358,16.87,2022,57530.63434642,57571.93065832,109.32,81.465264,641,,,,109,11,10,6.35058746573452,5.81199778178069,273.28863,-27.84358,-0.001104443058431,0.001104443058431034,0.9670673173900233,0.25427119586797126,-0.2549075573823846,0.9670312849290853,105,342
