filename,url,filesize,object,keplerid,obsmode,campaign,data_rel,channel,module,output,ra_obj,dec_obj,kepmag,cadences,lc_start,lc_end,gain,readnois,meanblck,cdpp3_0,cdpp6_0,cdpp12_0,npix,naxis1,naxis2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,pc1_1,pc1_2,pc2_1,pc2_2,crval1p,crval2p
ktwo202084295-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084295-c00_lpd-targ.fits.gz,13.3,EPIC 202084295,202084295,long cadence,0,2,56,16,4,95.51793,14.91123,13.7,3753,56728.02306922,56804.68993932,104.99,77.083658,721,,,,620,25,25,11.147876110623542,10.739397410817219,95.51793,14.91123,-0.001104852440744,0.001104852440744,-0.9807756148675191,0.1962436557834178,0.19563067547396495,0.9804574119550289,192,760
ktwo202084303-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084303-c00_lpd-targ.fits.gz,11.1,EPIC 202084303,202084303,long cadence,0,2,37,12,1,98.24756,19.6902,15.3,3753,56728.02306922,56804.68993932,109.22,79.544926,735,,,,526,23,23,9.739066071066077,13.996040370400152,98.24755999995,19.6902,-0.001105806666652,0.001105806666652,-0.9848576472789344,-0.18190400410545943,0.18192362513115007,-0.981773728232434,750,161
ktwo202084304-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084304-c00_lpd-targ.fits.gz,12.4,EPIC 202084304,202084304,long cadence,0,2,55,16,3,97.06801,15.00691,14.3,3753,56728.02306922,56804.68993932,106.74,90.494172,726,,,,575,23,25,13.115452889541189,10.919168509684141,97.06801000005,15.00691,-0.00110494100612,0.001104941006119635,0.9820764624303341,0.18886833415510948,-0.18908881397309785,0.9818859809665171,662,584
ktwo202084312-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084312-c00_lpd-targ.fits.gz,10.4,EPIC 202084312,202084312,long cadence,0,2,82,24,2,92.32362,22.13124,15.3,3753,56728.02306922,56804.68993932,116.43,97.009476,708,,,,484,22,22,8.862094998869225,13.895190358020727,92.32361999999999,22.13124,-0.001101619208527,0.001101619208527,0.2200964640081402,0.973444320949597,0.9771409922761338,-0.22175572207256497,14,714
ktwo202084332-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084332-c00_lpd-targ.fits.gz,11.4,EPIC 202084332,202084332,long cadence,0,2,60,17,4,95.7522,18.11112,14.1,3753,56728.02306922,56804.68993932,115.41,93.736002,715,,,,527,23,23,9.738303230754923,9.864201937131384,95.75219999999999,18.11112,-0.001107068926448,0.001107068926448,-0.9820489989929928,0.19712349115357553,0.1964616040467322,0.9788440329539361,966,978
ktwo202084337-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084337-c00_lpd-targ.fits.gz,9.8,EPIC 202084337,202084337,long cadence,0,2,62,18,2,95.40566,20.87528,15.6,3753,56728.02306922,56804.68993932,101.68,109.377176,699,,,,462,22,21,9.031472134813384,13.161837740723513,95.40565999994999,20.87528,-0.001106228631671,0.001106228631671,0.2006406260631424,0.9807125542913662,0.9786983523776768,-0.20024976868988079,936,999
ktwo202084341-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084341-c00_lpd-targ.fits.gz,10.5,EPIC 202084341,202084341,long cadence,0,2,57,17,1,94.99536,18.8047,15.4,3753,56728.02306922,56804.68993932,117.09,86.166531,731,,,,484,22,22,9.388152964379856,13.98515618273808,94.99536,18.8047,-0.001104710143664,0.001104710143664306,-0.9798318941154153,-0.20057135530339826,0.20101293050973487,-0.9794359316712674,455,418
ktwo202084342-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084342-c00_lpd-targ.fits.gz,11.3,EPIC 202084342,202084342,long cadence,0,2,76,22,4,92.44851,18.44966,14.6,3753,56728.02306922,56804.68993932,105.23,84.594397,732,,,,551,23,24,14.458123710225436,10.437831734528118,92.44851,18.44966,-0.00110567516972,0.001105675169720109,-0.21569907326365353,-0.9775567052311299,-0.9753779457912385,0.2156372220494244,312,804
ktwo202084343-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084343-c00_lpd-targ.fits.gz,11.5,EPIC 202084343,202084343,long cadence,0,2,55,16,3,97.07399,14.76672,14.8,3753,56728.02306922,56804.68993932,106.74,90.494172,726,,,,526,23,23,14.030327237703318,10.41966878694933,97.07398999995002,14.76672,-0.00110412924685,0.00110412924685,0.9816334055191834,0.18869511772472233,-0.18925002170041796,0.9823315297280689,697,370
ktwo202084317-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084317-c00_lpd-targ.fits.gz,12.1,EPIC 202084317,202084317,long cadence,0,2,71,20,3,93.19182,27.17758,15.0,3753,56728.02306922,56804.68993932,115.08,83.214348,722,,,,596,24,25,9.966988310684428,14.916765973407394,93.19182,27.17758,-0.001105138387621,0.001105138387621,-0.9764242177315512,-0.2173001850432415,0.2176057822954376,-0.9757175272179209,568,445
ktwo202084323-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084323-c00_lpd-targ.fits.gz,12.7,EPIC 202084323,202084323,long cadence,0,2,63,18,3,94.94179,20.88634,12.3,3753,56728.02306922,56804.68993932,112.5,86.18625,708,,,,618,25,25,11.145986643909737,10.853350871330917,94.94179000004999,20.88634,-0.001107172228106,0.001107172228106,0.20281550313560467,-0.9810749834118627,0.977526975340678,0.20201975810301398,1022,761
ktwo202084325-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084325-c00_lpd-targ.fits.gz,10.8,EPIC 202084325,202084325,long cadence,0,2,65,19,1,95.87214,24.16444,14.8,3753,56728.02306922,56804.68993932,113.32,85.590596,738,,,,526,23,23,13.877821489363441,14.248181433785618,95.87213999999999,24.16444,-0.001102447306861,0.001102447306861,-0.19736479707391483,0.9783501911514931,-0.9822502217696217,-0.1976811891052817,1011,26
ktwo202084327-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084327-c00_lpd-targ.fits.gz,11.1,EPIC 202084327,202084327,long cadence,0,2,71,20,3,93.11252,26.63855,15.5,3753,56728.02306922,56804.68993932,115.08,83.214348,722,,,,526,23,23,9.333779679564486,14.084456823400728,93.11251999995001,26.63855,-0.001102652215027,0.001102652215027,-0.9737640447617494,-0.21752859994348503,0.21847327340982964,-0.9781382048698785,400,908
ktwo202084328-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084328-c00_lpd-targ.fits.gz,11.5,EPIC 202084328,202084328,long cadence,0,2,41,13,1,97.67313,22.19549,13.8,3753,56728.02306922,56804.68993932,115.83,84.219993,716,,,,528,23,23,9.653404930434021,14.109923477609584,97.67313000000001,22.19549,-0.001105130655775,0.001105130655775,-0.9829698768110896,-0.1862830122314389,0.18649437439503033,-0.9819825499688052,689,431
ktwo202084352-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084352-c00_lpd-targ.fits.gz,12.6,EPIC 202084352,202084352,long cadence,0,2,68,19,4,93.69861,23.93448,11.8,3753,56728.02306922,56804.68993932,111.85,80.028675,717,,,,620,25,25,14.195630230748293,10.739763738464376,93.69861,23.93448,-0.001102990539925,0.001102990539925,-0.21188869741866498,-0.975557306584761,-0.9788660701910564,0.21265906868156445,847,315
ktwo202084354-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084354-c00_lpd-targ.fits.gz,10.3,EPIC 202084354,202084354,long cadence,0,2,68,19,4,93.3613,24.10504,15.6,3753,56728.02306922,56804.68993932,111.85,80.028675,717,,,,484,22,22,13.76579070029402,9.035861174277642,93.36130000005,24.10504,-0.001103188544446,0.001103188544446482,-0.21423732560199632,-0.9755395053826152,-0.9778515610965238,0.2150286912928572,637,77
ktwo202084359-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084359-c00_lpd-targ.fits.gz,9.9,EPIC 202084359,202084359,long cadence,0,2,64,18,4,94.05028,21.2678,15.5,3753,56728.02306922,56804.68993932,114.03,85.499694,723,,,,484,22,22,13.448527554616703,9.569380784837804,94.05028000005,21.2678,-0.001103236298558,0.001103236298557892,-0.20756266105355906,-0.9769389649375426,-0.9793493150061455,0.20830092303763884,686,96
ktwo202084360-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084360-c00_lpd-targ.fits.gz,11.8,EPIC 202084360,202084360,long cadence,0,2,53,16,1,95.69106,16.20822,15.3,3753,56728.02306922,56804.68993932,119.95,87.37158,713,,,,528,23,23,9.98500555285807,13.96613375211183,95.69106000000001,16.20822,-0.001105090731114,0.001105090731114,-0.981535094519471,-0.19521392147174296,0.1955441427664763,-0.9799212136582913,572,257
ktwo202084369-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084369-c00_lpd-targ.fits.gz,11.5,EPIC 202084369,202084369,long cadence,0,2,14,6,2,102.83448,17.3964,13.4,3753,56728.02306922,56804.68993932,99.93,78.784812,734,,,,529,23,23,14.279827422186486,13.461617553699398,102.83448,17.3964,-0.001105096872506,0.001105096872506,0.9885358691807642,-0.15684142586202396,-0.1560424376370332,-0.9868393368411366,500,289
ktwo202084374-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084374-c00_lpd-targ.fits.gz,11.0,EPIC 202084374,202084374,long cadence,0,2,15,6,3,103.39901,15.5246,15.4,3753,56728.02306922,56804.68993932,108.09,83.088783,738,,,,527,23,23,13.332899192304012,10.61520452820065,103.39900999995,15.5246,-0.001102705981309,0.001102705981309,0.987142464073824,0.15309153190069547,-0.15444927857062443,0.9890721540975556,280,103
ktwo202084378-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084378-c00_lpd-targ.fits.gz,10.0,EPIC 202084378,202084378,long cadence,0,2,24,8,4,102.24146,22.08819,14.9,3753,56728.02306922,56804.68993932,112.82,86.70217,722,,,,484,22,22,9.645732770569452,13.557392001080245,102.24145999995001,22.08819,-0.001106598622082,0.001106598622082367,0.15628564461406877,0.9892760773681548,0.9862319899777124,-0.15576789307792716,989,314
ktwo202084380-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084380-c00_lpd-targ.fits.gz,9.6,EPIC 202084380,202084380,long cadence,0,2,46,14,2,96.91431,23.53793,15.8,3753,56728.02306922,56804.68993932,113.99,85.469702,717,,,,462,22,21,8.882901186212848,8.920539743274674,96.91431,23.53793,-0.001103732386084,0.001103732386084,-0.981160421312186,0.1904052205749568,0.18994898825454257,0.9823395849013067,298,436
ktwo202084383-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084383-c00_lpd-targ.fits.gz,10.6,EPIC 202084383,202084383,long cadence,0,2,84,24,4,90.54548,23.96087,15.4,3753,56728.02306922,56804.68993932,102.82,99.498914,717,,,,484,22,22,13.851380532387452,8.959741188839871,90.54547999995,23.96087,-0.001105463843976,0.001105463843976,-0.23233183122916864,-0.9736870926753916,-0.9715089971304929,0.23265959205868308,240,362
ktwo202084386-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084386-c00_lpd-targ.fits.gz,11.2,EPIC 202084386,202084386,long cadence,0,2,1,2,1,104.89131,18.72104,14.9,3753,56728.02306922,56804.68993932,111.23,87.604748,728,,,,525,23,23,10.2709533564705,10.044727485531666,104.89131,18.72104,-0.001103563798947,0.001103563798947,0.14129276652751013,-0.9894391845753854,0.9904588567341346,0.14155853076608427,218,1014
ktwo202084416-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084416-c00_lpd-targ.fits.gz,10.4,EPIC 202084416,202084416,long cadence,0,2,38,12,2,98.81296,19.40679,15.8,3753,56728.02306922,56804.68993932,107.05,80.90839,722,,,,484,22,22,13.169097635850676,13.417359875690863,98.81296000005001,19.40679,-0.001104656324908,0.001104656324908061,0.9838108465231239,-0.17867828096847568,-0.17875214081599655,-0.983990853710118,1024,501
ktwo202084424-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084424-c00_lpd-targ.fits.gz,10.3,EPIC 202084424,202084424,long cadence,0,2,64,18,4,94.58207,21.46378,15.2,3753,56728.02306922,56804.68993932,114.03,85.499694,723,,,,484,22,22,13.450307565580033,8.971253928414171,94.58206999995,21.46378,-0.001104569505836,0.001104569505835825,-0.20447618348755012,-0.9786267372031828,-0.9790341431827613,0.20486987839877677,605,572
ktwo202084426-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084426-c00_lpd-targ.fits.gz,11.2,EPIC 202084426,202084426,long cadence,0,2,73,22,1,93.22351,18.25873,15.0,3753,56728.02306922,56804.68993932,107.06,79.053104,749,,,,526,23,23,14.959951174398157,14.311275479694018,93.22351000005,18.25873,-0.001104520293173,0.001104520293173,-0.21177170048633065,0.9770259904108627,-0.9776201244978676,-0.21173617397370004,623,721
ktwo202084427-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084427-c00_lpd-targ.fits.gz,10.1,EPIC 202084427,202084427,long cadence,0,2,67,19,3,93.69975,23.47299,15.1,3753,56728.02306922,56804.68993932,112.88,90.304,719,,,,484,22,22,9.4324753564116,8.975708998679664,93.69975,23.47299,-0.00110597272641092,0.00110597272641092,0.21263731031595987,-0.9782651713493297,0.9761861229671283,0.21177428871637047,946,229
ktwo202084433-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084433-c00_lpd-targ.fits.gz,11.1,EPIC 202084433,202084433,long cadence,0,2,57,17,1,95.1933,18.67464,14.4,3753,56728.02306922,56804.68993932,117.09,86.166531,731,,,,526,23,23,10.103877543252224,14.35828072405343,95.1933,18.67464,-0.001104599116126,0.001104599116126,-0.9796964700219518,-0.19951530584588734,0.19989282301775474,-0.9800161087216144,597,567
ktwo202084435-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084435-c00_lpd-targ.fits.gz,11.1,EPIC 202084435,202084435,long cadence,0,2,67,19,3,94.20726,23.29729,12.2,3753,56728.02306922,56804.68993932,112.88,90.304,719,,,,529,23,23,10.282061615452449,9.760889506113358,94.20726000000002,23.29729,-0.001105577918838,0.001105577918838,0.20898709492578682,-0.9786373221106384,0.9773139853086632,0.20845334288092715,701,607
ktwo202084436-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084436-c00_lpd-targ.fits.gz,11.1,EPIC 202084436,202084436,long cadence,0,2,71,20,3,93.34469,26.59559,14.4,3753,56728.02306922,56804.68993932,115.08,83.214348,722,,,,528,23,23,9.285336145788165,13.814041332081842,93.34468999995,26.59559,-0.001102670118866,0.001102670118866,-0.9740688167917796,-0.2157424349325123,0.21670534416324486,-0.97862434866458,575,987
ktwo202084441-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084441-c00_lpd-targ.fits.gz,10.4,EPIC 202084441,202084441,long cadence,0,2,57,17,1,94.89158,18.21193,15.9,3753,56728.02306922,56804.68993932,117.09,86.166531,731,,,,484,22,22,9.283532467388227,13.672484770782717,94.89157999995,18.21193,-0.001102902751304,0.001102902751304,-0.9777912300949709,-0.20095689746663492,0.20158800886738834,-0.9812825781617409,260,926
ktwo202084443-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084443-c00_lpd-targ.fits.gz,10.4,EPIC 202084443,202084443,long cadence,0,2,64,18,4,94.18759,21.66523,15.6,3753,56728.02306922,56804.68993932,114.03,85.499694,723,,,,484,22,22,13.492121852774176,9.405517155033522,94.18759000005001,21.66523,-0.001104697915222,0.001104697915222198,-0.2068779709395435,-0.9787114181742507,-0.9779089349954245,0.20741386427217268,358,284
ktwo202084447-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084447-c00_lpd-targ.fits.gz,11.2,EPIC 202084447,202084447,long cadence,0,2,79,23,3,91.63016,19.20639,14.9,3753,56728.02306922,56804.68993932,97.33,83.139286,741,,,,526,23,23,9.47311838035921,9.530862193240353,91.63015999995,19.20639,-0.001102132231431,0.001102132231431,0.22232133937181317,-0.9736837066060302,0.9763056935431096,0.22214265922435128,136,274
ktwo202084451-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084451-c00_lpd-targ.fits.gz,10.2,EPIC 202084451,202084451,long cadence,0,2,84,24,4,91.39351,23.67493,16.0,3753,56728.02306922,56804.68993932,102.82,99.498914,717,,,,484,22,22,14.14211742075156,8.992655624872214,91.39351000005,23.67493,-0.001105232920038,0.001105232920038,-0.22668170445341282,-0.9740501052068763,-0.97386874582933,0.22676309846530643,653,986
ktwo202084453-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084453-c00_lpd-targ.fits.gz,11.0,EPIC 202084453,202084453,long cadence,0,2,55,16,3,96.86472,14.96049,15.6,3753,56728.02306922,56804.68993932,106.74,90.494172,726,,,,528,23,23,13.582972336632793,9.354741661237767,96.86472,14.96049,-0.00110492479509,0.00110492479509,0.9818546846616949,0.18980696293240215,-0.18998518036230308,0.98175372076103,844,578
ktwo202084456-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084456-c00_lpd-targ.fits.gz,10.6,EPIC 202084456,202084456,long cadence,0,2,37,12,1,97.52097,19.31943,14.5,3753,56728.02306922,56804.68993932,109.22,79.544926,735,,,,484,22,22,9.383618362575817,13.748957371919687,97.52097,19.31943,-0.001104017892232,0.001104017892232,-0.9824189070704153,-0.1855887801687524,0.18631248578360002,-0.98269942290923,79,377
ktwo202084459-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084459-c00_lpd-targ.fits.gz,11.4,EPIC 202084459,202084459,long cadence,0,2,64,18,4,95.08866,21.54954,15.3,3753,56728.02306922,56804.68993932,114.03,85.499694,723,,,,526,23,23,14.130809980712002,9.38662852536288,95.08865999999999,21.54954,-0.001105139154106,0.001105139154106,-0.20152084890698127,-0.9796948027455857,-0.9792669756880624,0.20155350495156785,615,1005
ktwo202084465-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084465-c00_lpd-targ.fits.gz,11.1,EPIC 202084465,202084465,long cadence,0,2,64,18,4,94.80211,21.4001,15.1,3753,56728.02306922,56804.68993932,114.03,85.499694,723,,,,527,23,23,13.712620040976958,9.709619482679386,94.80211000005,21.4001,-0.001104542194827,0.001104542194827,-0.20313549603600473,-0.9787379586320436,-0.9794927419430137,0.20347636952857145,699,741
ktwo202084466-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202000000/84000/ktwo202084466-c00_lpd-targ.fits.gz,11.4,EPIC 202084466,202084466,long cadence,0,2,29,10,1,101.38891,27.78009,14.1,3753,56728.02306922,56804.68993932,112.32,80.690688,742,,,,526,23,23,14.703441258304792,10.138332739240013,101.38891000005,27.78009,-0.001107433018355,0.001107433018355,0.9897187107167608,0.15820887519432358,-0.15738402220448533,0.9852298843247046,216,991
